"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Nagvekar R.","Nagvekar, Ravi (60432158600)","60432158600","Agentic AI-Driven CI/CD Pipelines for Autonomous Software Delivery","2025","2025 IEEE 5th International Conference on ICT in Business Industry and Government, ICTBIG 2025","","","","","","0","10.1109/ICTBIG68706.2025.11323919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032909673&doi=10.1109%2FICTBIG68706.2025.11323919&partnerID=40&md5=a8658e68e7c4cd8d936ebc4710f9d6f5","Continuous integration and continuous deployment (CI/CD) have been shifting into a critical phase with the advent of Agentic AI autonomous systems that have the capacity to perceive, reason, and take action as a way of accomplishing the software development objectives. This paper provides a detailed framework where Agentic AI offers end-to-end software development autonomy that can be used to revolutionize the DevOps communities of automated workflows to self-directed intelligent ecosystems. The owners of business or products are given the ability to specify goals using natural language thus triggering code and test agents that build applications and deploy these applications automatically. The final product is a productionready software product that has been created by a smooth adaptive CI/CD pipeline. This paper outlines the architecture, the layering of these agentic systems, feedback loops, and self-learning processes that facilitate such systems and the business impact, innovation potential and the ethical issues of autonomous DevOps. © 2025 IEEE.","Agentic AI; AIdriven orchestration; Autonomous DevOps; CI/CD pipelines; Cloud-native engineering; DevOps scalability; Intelligent automation; Large Language Models (LLMs); Multi-agent systems; Reinforcement learning; Software automation","Application programs; Automation; Autonomous agents; DevOps; Intelligent agents; Learning systems; Multi agent systems; Software design; Agentic AI; Aidriven orchestration; Autonomous devops; Cloud-native engineering; Continuous integration and continuous deployment pipeline; Continuous integrations; Devops scalability; Intelligent automation; Language model; Large language model; Multiagent systems (MASs); Reinforcement learnings; Software automation; Reinforcement learning","Conference paper","Final","","Scopus","2-s2.0-105032909673"
"Qi M.; Zhu T.; Zhang L.; Li N.; Tan Y.-A.; Zhou W.","Qi, Minfeng (57219293892); Zhu, Tianqing (9737124100); Zhang, Lefeng (56425202500); Li, Ningran (58894052900); Tan, Yu-An (58846820800); Zhou, Wanlei (7404511655)","57219293892; 9737124100; 56425202500; 58894052900; 58846820800; 7404511655","Toward Transparent and Incentive-Compatible Collaboration in Decentralized LLM Multi-Agent Systems: A Blockchain-Driven Approach","2026","IEEE Transactions on Network Science and Engineering","13","","","6706","6720","0","10.1109/TNSE.2026.3659486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029269776&doi=10.1109%2FTNSE.2026.3659486&partnerID=40&md5=8d4b0cf3348bdcf1f02140f37c97cc26","Large Language Models (LLMs) have enabled autonomous agents capable of complex reasoning and collaboration, yet coordinating such agents in decentralized environments remains challenging due to the lack of centralized control for aligning behavior and sustaining long-term cooperation. This paper addresses this challenge from a mechanism-design perspective and proposes a behavior-shaping incentive mechanism for decentralized LLM-based multi-agent systems. The mechanism explicitly models agent utility as a function of task rewards, capability mismatch, and workload, and couples short-term utility optimization with long-term trust formation through dynamic reputation updates and capability-weight adaptation. By jointly shaping task assignment probabilities, reputation evolution, and skill profiles over repeated interactions, the mechanism incentivizes cooperative behavior and discourages strategic misrepresentation or overload. To operationalize this incentive design in a trust-minimized setting, we implement a lightweight blockchain-based enforcement layer that provides verifiable identity binding, task assignment commitment, and immutable logging of incentive-relevant state transitions. We evaluate the proposed mechanism through 50-round simulations involving 20 agents and 100 tasks, using GPT-4-based agents integrated with Solidity smart contracts. The results demonstrate improved task success rates, stable utility distributions, and emergent agent specialization, highlighting the effectiveness of incentive-centric design for trustworthy coordination among decentralized LLM agents. © 2026 IEEE.","and incentive mechanisms; blockchain; Large language models; multi-agent systems; smart contracts","Autonomous agents; Behavioral research; Decentralized systems; Intelligent agents; Multi agent systems; Smart contract; Block-chain; Decentralised; Incentive compatible; Incentive mechanism; Language model; Large language model; Model agents; Model multi-agent systems; Multiagent systems (MASs); Tasks assignments; Blockchain","Article","Final","","Scopus","2-s2.0-105029269776"
"Sharanarthi T.; Polineni S.","Sharanarthi, Tanush (58705212600); Polineni, Sreenidhi (60129805500)","58705212600; 60129805500","Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis","2025","2025 International Conference on Mechatronics, Robotics, and Artificial Intelligence, MRAI 2025","","","","541","546","1","10.1109/MRAI65197.2025.11135756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017962329&doi=10.1109%2FMRAI65197.2025.11135756&partnerID=40&md5=c1c8dcd7efc5a31fdf3f2f8723e6caf1","Automated code review systems have improved software development, yet many lack contextual awareness, leading to redundant feedback and limited adaptability to user-specific coding styles. This paper presents a multi-agent AI-driven framework that leverages FAISS-based memory to improve review efficiency, personalization, and collaboration. The system integrates code review, bug detection, and security analysis agents, operating independently and interactively to analyze and refine code submissions. A feedback mechanism enables users to influence future AI suggestions, ensuring that recommendations evolve based on individual preferences and past interactions. Through structured experiments, we evaluated the impact of FAISS memory on the reduction of redundant feedback, evaluated the effectiveness of collaborative agent execution, and measured the system's ability to adapt to coding patterns over time. The results indicate that the incorporation of FAISS significantly improves AI-assisted development by minimizing unnecessary repetitions while maintaining essential corrective feedback. This research demonstrates the potential of adaptive AI systems in software engineering, contributing to more intelligent, context-aware, and efficient code review methodologies. © 2025 IEEE.","automated code review; debugging; FAISS; Large language models (LLMs); multiagent systems; retrieval-augmented generation (RAG); security analysis; software quality assurance","Codes (symbols); Computer programming languages; Computer software selection and evaluation; Distributed computer systems; Feedback; Intelligent agents; Quality assurance; Software design; Software quality; Automated code; Automated code review; Code review; Debugging; FAISS; Language model; Large language model; Multi agent; Retrieval-augmented generation; Security analysis; Software quality assurance; Multi agent systems; Quality control","Conference paper","Final","","Scopus","2-s2.0-105017962329"
"Aguzzi G.; Farabegoli N.; Viroli M.","Aguzzi, Gianluca (57224574088); Farabegoli, Nicolas (59006065000); Viroli, Mirko (55665532100)","57224574088; 59006065000; 55665532100","A Language-based Approach to Macroprogramming for IoT Systems through Large Language Models","2025","ACM Transactions on Internet of Things","6","4","26","","","1","10.1145/3758326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023322984&doi=10.1145%2F3758326&partnerID=40&md5=2220c1584dc7601e400e1acb0cbf8386","Large language models (LLMs) have transformed software engineering, particularly in code generation, where they assist developers in writing functions or entire programs. However, code generation remains challenging when the target domain is complex, as is the case with Internet of Things (IoT) systems. The challenge lies in capturing the entire system behavior within a single specification. developers often model only a subset of the system’s functionality, focusing primarily on individual device behavior or data processing aspects, which may not address the core challenges of IoT, such as large-scale distributed coordination and emergent behavior. To address this, macroprogramming paradigms have been proposed as a means to specify the collective behavior of IoT systems more holistically. Among these approaches, aggregate computing stands out for its ability to express system-wide properties through a top-down, global-to-local perspective. Despite its potential, the adoption of aggregate computing remains limited due to the complexity of writing and maintaining such programs. To overcome these barriers, we propose a language-based approach based on macroprogramming that leverages LLMs for IoT code generation. Specifically, we employ the in-context learning capabilities of LLMs, guiding them to generate code based on an aggregate computing abstraction. This creates code that reflects system-wide properties and frees programmers from writing low-level code by letting them specify desired global properties in natural language. The LLM then translates these specifications into executable code, thus facilitating the development of collective intelligence applications in IoT systems. © 2025 Copyright held by the owner/author(s).","aggregate computing; code generation; internet of things; Large language models; macroprogramming","Codes (symbols); Complex networks; Distributed computer systems; Natural language processing systems; Software engineering; Specifications; Aggregate computing; Codegeneration; Entire system; Individual devices; Language model; Large language model; Macroprogramming; Property; System behaviors; Target domain; Aggregates","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023322984"
"León-Paredes G.A.; Alba-Narváez L.A.; Paltin-Guzmán K.D.","León-Paredes, Gabriel A. (57200258706); Alba-Narváez, Luis A. (60035892000); Paltin-Guzmán, Kelly D. (60042421000)","57200258706; 60035892000; 60042421000","NOVA: A Retrieval-Augmented Generation Assistant in Spanish for Parallel Computing Education with Large Language Models","2025","Applied Sciences (Switzerland)","15","15","8175","","","1","10.3390/app15158175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013288147&doi=10.3390%2Fapp15158175&partnerID=40&md5=50be62d76aa843ec007596a504fb9fee","This work presents the development of NOVA, an educational virtual assistant designed for the Parallel Computing course, built using a Retrieval-Augmented Generation (RAG) architecture combined with Large Language Models (LLMs). The assistant operates entirely in Spanish, supporting native-language learning and increasing accessibility for students in Latin American academic settings. It integrates vector and relational databases to provide an interactive, personalized learning experience that supports the understanding of complex technical concepts. Its core functionalities include the automatic generation of questions and answers, quizzes, and practical guides, all tailored to promote autonomous learning. NOVA was deployed in an academic setting at Universidad Politécnica Salesiana. Its modular architecture includes five components: a relational database for logging, a vector database for semantic retrieval, a FastAPI backend for managing logic, a Next.js frontend for user interaction, and an integration server for workflow automation. The system uses the GPT-4o mini model to generate context-aware, pedagogically aligned responses. To evaluate its effectiveness, a test suite of 100 academic tasks was executed—55 question-and-answer prompts, 25 practical guides, and 20 quizzes. NOVA achieved a 92% excellence rating, a 21-second average response time, and 72% retrieval coverage, confirming its potential as a reliable AI-driven tool for enhancing technical education. © 2025 by the authors.","artificial intelligence in education; autonomous learning; educational virtual assistant; large language models (LLMs); parallel computing; retrieval augmented generation (RAG); Spanish-language tutoring system; vector databases","Artificial intelligence; Computer aided instruction; Curricula; E-learning; Education computing; Engineering education; Learning systems; Natural language processing systems; Parallel architectures; Relational database systems; Search engines; Teaching; User interfaces; Artificial intelligence in education; Autonomous learning; Educational virtual assistant; Language model; Large language model; Parallel com- puting; Retrieval augmented generation; Spanish language; Spanish-language tutoring system; Tutoring system; Vector database; Virtual assistants; Semantics","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013288147"
"Pei C.; Wang Z.; Liu F.; Li Z.; Liu Y.; He X.; Kang R.; Zhang T.; Chen J.; Li J.; Xie G.; Pei D.","Pei, Changhua (57190810440); Wang, Zexin (58897818100); Liu, Fengrui (57262984300); Li, Zeyan (57192211748); Liu, Yang (58396475200); He, Xiao (57200214997); Kang, Rong (58198982000); Zhang, Tieying (57203814198); Chen, Jianjun (57226846603); Li, Jianhui (55720660700); Xie, Gaogang (13604674800); Pei, Dan (7102806576)","57190810440; 58897818100; 57262984300; 57192211748; 58396475200; 57200214997; 58198982000; 57203814198; 57226846603; 55720660700; 13604674800; 7102806576","Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis","2025","WWW Companion 2025 - Companion Proceedings of the ACM Web Conference 2025","","","","422","431","7","10.1145/3701716.3715225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009220149&doi=10.1145%2F3701716.3715225&partnerID=40&md5=630d0be51b8657afd91c03334312f77a","In the realm of microservices architecture, the occurrence of frequent incidents necessitates the employment of Root Cause Analysis (RCA) for swift issue resolution. It is common that a serious incident can take several domain experts hours to identify the root cause. Consequently, a contemporary trend involves harnessing Large Language Models (LLMs) as automated agents for RCA. Though the recent ReAct framework aligns well with the Site Reliability Engineers (SREs) for its thought-action-observation paradigm, its hallucinations often lead to irrelevant actions and directly affect subsequent results. Additionally, the complex and variable clues of the incident can overwhelm the model one step further. To confront these challenges, we propose Flow-of-Action, a pioneering Standard Operation Procedure (SOP) enhanced LLM-based multi-agent system. By explicitly summarizing the diagnosis steps of SREs, SOP imposes constraints on LLMs at crucial junctures, guiding the RCA process towards the correct trajectory. To facilitate the rational and effective utilization of SOPs, we design an SOP-centric framework called SOP flow. SOP flow contains a series of tools, including one for finding relevant SOPs for incidents, another for automatically generating SOPs for incidents without relevant ones, and a tool for converting SOPs into code. This significantly alleviates the hallucination issues of ReAct in RCA tasks. We also design multiple auxiliary agents to assist the main agent by removing useless noise, narrowing the search space, and informing the main agent whether the RCA procedure can stop. Compared to the ReAct method's 35.50% accuracy, our Flow-of-Action method achieves 64.01%, meeting the accuracy requirements for RCA in real-world systems. © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Large Language Model; Multi-Agent System; Root Cause Analysis","Computational methods; Human computer interaction; Human engineering; Intelligent agents; Domain experts; Issue resolutions; Language model; Large language model; Main agent; Model-based OPC; Multiagent systems (MASs); Operation procedure; Reliability engineers; Root cause analysis; Multi agent systems","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009220149"
"Shemetova E.; Smirnov I.; Alekseev A.; Shenbin I.; Rukhovich A.; Nikolenko S.; Lomshakov V.; Piontkovskaya I.","Shemetova, Ekaterina (57221691926); Smirnov, Ivan (58059937000); Alekseev, Anton (57209096106); Shenbin, Ilya (57208470012); Rukhovich, Alexey (56145307100); Nikolenko, Sergey (13608710100); Lomshakov, Vadim (57928857400); Piontkovskaya, Irina (57034191400)","57221691926; 58059937000; 57209096106; 57208470012; 56145307100; 13608710100; 57928857400; 57034191400","LAMeD: LLM-generated Annotations for Memory Leak Detection","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","1024","1034","0","10.1145/3756681.3756999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027103337&doi=10.1145%2F3756681.3756999&partnerID=40&md5=c2b778d4ff0b862b8b18db0495c2c360","Static analysis tools are widely used to detect software bugs and vulnerabilities but often struggle with scalability and efficiency in complex codebases. Traditional approaches rely on manually crafted annotations - labeling functions as sources or sinks - to track data flows, e.g., ensuring that allocated memory is eventually freed, and code analysis tools such as CodeQL, Infer, or Cooddy can use function specifications, but manual annotation is laborious and error-prone, especially for large or third-party libraries. We present LAMeD (LLM-generated Annotations for Memory leak Detection), a novel approach that leverages large language models (LLMs) to automatically generate function-specific annotations. When integrated with analyzers such as Cooddy, LAMeD significantly improves memory leak detection and reduces path explosion. We also suggest directions for extending LAMeD to broader code analysis. © 2025 Copyright held by the owner/author(s).","Annotation generation; Large language models; Memory leak detection; Software testing; Static Analysis","Computational linguistics; Data flow analysis; Information leakage; Model checking; Static analysis; Analysis tools; Annotation generation; Code analysis; Language model; Large language model; Memory leak detections; Software bug; Software testings; Software vulnerabilities; Traditional approachs; Software testing","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027103337"
"Lin J.; Guo N.; Gong Z.","Lin, Jipeng (60395645800); Guo, Nan (56166703500); Gong, Ziyan (57811203900)","60395645800; 56166703500; 57811203900","EBA-SQL: A Multi-Agent Collaborative Framework with Entity-Based Analysis for Text-to-SQL","2025","Proceedings - 2025 IEEE International Symposium on Parallel and Distributed Processing with Applications, ISPA 2025","","","","1312","1319","0","10.1109/ISPA67752.2025.00181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030168854&doi=10.1109%2FISPA67752.2025.00181&partnerID=40&md5=550c5a714c5b7266f206aa9e7e630b85","The in-context learning capability of Large Language Models has achieved significant success in text-to-SQL task. Most existed approaches generally adopt a straightforward three-stage workflow including 1) schema linking, 2) SQL generation, and 3) self-correction. However, processing subtasks through a single chain-of-thought prompt limits the reasoning capability of LLMs, while multiple candidate SQLs sacrifice token numbers and runtime cost. To balance execution accuracy and cost for fulfilling text-to-SQL task, a multi-agent collaborative framework EBA-SQL is proposed. We firstly propose a novel entity-based analysis strategy to improve LLMs' understanding and attention of question. Then EBA-SQL adopts a EBA-Driven Decomposer agent acting in the entity-based analysis strategy, which is the core component for question decomposition and SQL generation. Two auxiliary agents, the EBA-Driven Selector and the Error-Driven Refiner, are responsible for schema linking and self-correction, respectively. Experimental results demonstrate the effectiveness and efficiency of EBA-SQL. Specifically, as of June 2025, experiments on the BIRD dataset show that EBA-SQL achieves the best performance with an execution accuracy of 6 3. 5 0 \% on the test set among the open-source GPT-4 based text-to-SQL methods. Extensive analysis and ablation studies confirm that EBA-SQL outperforms the baselines with respect to token and time efficiency, thus to demonstrate the strong potential for practical applications. Our code is available on GitHub: https://github.com/xiaolinstudent/EBA-SQL.  © 2025 IEEE.","In-context learning; Large Language Models; Text-to-SQL","Computational linguistics; Computational methods; Distributed computer systems; Information management; Intelligent agents; Learning systems; Multi agent systems; Open source software; Open systems; Analysis strategies; Collaborative framework; Context learning; In contexts; In-context learning; Language model; Large language model; Multi agent; Self-correction; Text-to-SQL; Efficiency","Conference paper","Final","","Scopus","2-s2.0-105030168854"
"Meng Y.; Ye J.; Zhou W.; Yue G.; Mao X.; Wang R.; Zhao B.","Meng, Yiran (60106287100); Ye, Junhong (59522942400); Zhou, Wei (58994304700); Yue, Guanghui (57209535973); Mao, Xudong (54883408900); Wang, Ruomei (55549864600); Zhao, Baoquan (56241289100)","60106287100; 59522942400; 58994304700; 57209535973; 54883408900; 55549864600; 56241289100","VideoForest: Person-Anchored Hierarchical Reasoning for Cross-Video Question Answering","2025","MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025","","","","836","845","0","10.1145/3746027.3754573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024071269&doi=10.1145%2F3746027.3754573&partnerID=40&md5=5fc4a9e88814edc8afcecfc96e30d556","Cross-video question answering presents significant challenges beyond traditional single-video understanding, particularly in establishing meaningful connections across video streams and managing the complexity of multi-source information retrieval. We introduce VideoForest, a novel framework that addresses these challenges through person-anchored hierarchical reasoning, enabling effective cross-video understanding without requiring end-to-end training. VideoForest integrates three key innovations: 1) a human-anchored feature extraction mechanism that employs ReID and tracking algorithms to establish robust spatiotemporal relationships across multiple video sources; 2) a multi-granularity spanning tree structure that hierarchically organizes visual content around person-level trajectories; and 3) a multi-agent reasoning framework that efficiently traverses this hierarchical structure to answer complex queries. To evaluate our method, we develop CrossVideoQA, a comprehensive benchmark specifically designed for person-centric cross-video analysis. Experimental results demonstrate VideoForest's superior performance in cross-video reasoning tasks, achieving 71.93% accuracy in person recognition, 83.75% in behavior analysis, and 51.67% in summarization and reasoning. © 2025 ACM.","cross-video question answering; hierarchical video representation; multi-agent framework; person-anchored reasoning","Information retrieval; Intelligent agents; Interactive computer graphics; Query processing; Question answering; Video analysis; Cross-video question answering; End to end; Hierarchical reasoning; Hierarchical video representation; Multi-source informations; Multiagent framework; Person-anchored reasoning; Question Answering; Video representations; Video understanding; Multi agent systems","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105024071269"
"Wang Y.; Wang Y.; Wang S.; Guo D.; Chen J.; Grundy J.; Liu X.; Ma Y.; Mao M.; Zhang H.; Zheng Z.","Wang, Yanli (58630389300); Wang, Yanlin (57222817085); Wang, Suiquan (59510264400); Guo, Daya (57208444652); Chen, Jiachi (57184505400); Grundy, John (7102156137); Liu, Xilin (59639589700); Ma, Yuchi (57832420700); Mao, Mingzhi (9242303800); Zhang, Hongyu (55685668500); Zheng, Zibin (59968454700)","58630389300; 57222817085; 59510264400; 57208444652; 57184505400; 7102156137; 59639589700; 57832420700; 9242303800; 55685668500; 59968454700","RepoTransBench: A Real-World Multilingual Benchmark for Repository-Level Code Translation","2026","IEEE Transactions on Software Engineering","52","2","","675","690","0","10.1109/TSE.2025.3645056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025403571&doi=10.1109%2FTSE.2025.3645056&partnerID=40&md5=c29ee608594131e4b99698f1077b8099","Repository-level code translation refers to translating an entire code repository from one programming language to another while preserving the functionality of the source repository. Many benchmarks have been proposed to evaluate the performance of such code translators. However, previous benchmarks mostly provide fine-grained samples, focusing at either code snippet, function, or file-level code translation. Such benchmarks do not accurately reflect real-world demands, where entire repositories often need to be translated, involving longer code length and more complex functionalities. To address this gap, we propose a new benchmark, named RepoTransBench, which is a real-world multilingual repository-level code translation benchmark featuring 1,897 real-world repository samples across 13 language pairs with automatically executable test suites. Besides, we introduce RepoTransAgent, a general agent framework to perform repository-level code translation. We evaluate both our benchmark's challenges and agent's effectiveness using several methods and backbone LLMs, revealing that repository-level translation remains challenging, where the best-performing method achieves only a 32.8% success rate. Furthermore, our analysis reveals that translation difficulty varies significantly by language pair direction, with dynamic-to-static language translation being much more challenging than the reverse direction (achieving below 10% vs. static-to-dynamic at 45-63%). Finally, we conduct a detailed error analysis and highlight current LLMs' deficiencies in repository-level code translation, which could provide a reference for further improvements. We provide the code and data at https://github.com/DeepSoftwareAnalytics/RepoTransBench. © 1976-2012 IEEE.","LLM-based agent; multilingual benchmark; Repository-level code translation","Codes (symbols); Error analysis; Program translators; Translation (languages); Code translation; Code translators; Fine grained; Functions level; Language pairs; LLM-based agent; Multilingual benchmark; Performance; Real-world; Repository-level code translation; Benchmarking","Article","Final","","Scopus","2-s2.0-105025403571"
"Bahar A.A.M.; Samer Wazan A.","Bahar, Atmane Ayoub Mansour (59514122400); Samer Wazan, Ahmad (25960525900)","59514122400; 25960525900","On the Validity of Traditional Vulnerability Scoring Systems for Adversarial Attacks Against LLMs","2025","IEEE Access","13","","","97273","97321","0","10.1109/ACCESS.2025.3574108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006789787&doi=10.1109%2FACCESS.2025.3574108&partnerID=40&md5=69cdb8308c3aafba0eb86aa34d82e0fc","This research investigates the effectiveness of established vulnerability metrics, such as the Common Vulnerability Scoring System (CVSS), in evaluating attacks on Large Language Models (LLMs), with a focus on Adversarial Attacks (AAs). The study explores the influence of different metric factors in determining vulnerability scores, providing new perspectives on potential enhancements to these metrics. This study adopts a quantitative approach, calculating and comparing the coefficient of variation of vulnerability scores across 56 adversarial attacks on LLMs. The attacks, sourced from various research papers, and obtained through online databases, were evaluated using multiple vulnerability metrics. Scores were determined by averaging the values assessed by three distinct LLMs. The results indicate that existing scoring systems yield vulnerability scores with minimal variation across different attacks, supporting the hypothesis that current vulnerability metrics are limited in evaluating AAs on LLMs, and highlighting the need for the development of more flexible, generalized metrics tailored to such attacks. © 2013 IEEE.","Adversarial attacks; descriptive statistics; large language models; risk assessment; vulnerability metrics","Denial-of-service attack; Coefficients of variations; Common vulnerability scoring systems; Descriptive statistics; Language model; Large language model; On potentials; Quantitative approach; Risks assessments; Scoring systems; Vulnerability metrics; Risk assessment","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105006789787"
"Yang T.; Jiang Z.; Wang Y.","Yang, Tinghui (59496384300); Jiang, Zhiyuan (57749957400); Wang, Yongjun (55733886800)","59496384300; 57749957400; 55733886800","LLMSQLi: A Black-Box Web SQLi Detection Tool Based on Large Language Model","2024","2024 5th International Conference on Big Data and Artificial Intelligence and Software Engineering, ICBASE 2024","","","","629","633","2","10.1109/ICBASE63199.2024.10762654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213816036&doi=10.1109%2FICBASE63199.2024.10762654&partnerID=40&md5=98d17350981bf5b305e1954c67c17a67","Black box detection tools of SQL injection vulnerabilities simulate real-world web attack scenarios, making it essential for evaluating SQLi risks in actual web applications. However, current black-box approaches depend on predefined rules for SQLi vulnerability detection, which limits both their efficiency and accuracy. In this paper, we propose a black-box SQLi detection tool based on large language multi-agent, LLMSQLi, which uses the context understanding and reasoning capabilities of large language models and the cooperative division of labor mode of multi-agent to generate payloads customized for test targets and efficiently detect SQL injection vulnerabilities in Web programs. Drawing inspiration from real-world teams of security experts, LLMSQLi simulates the step-by-step process of human experts in testing tasks through the LLM Muti-Agent collaboration model. We ran experiments on SQLiMicroBenchmark to compare the performance of LLMSQLi and two of the most advanced black-box SQLi testing tools. Experiments show that LLMSQLi successfully detected all 15 targets and outperformed other tools. © 2024 IEEE.","Large Language Model; Multi Agents; SQLi detection; Web Security","Intelligent agents; Multi agent systems; Black boxes; Detection tools; Language model; Large language model; Multi agent; Real world web; SQL injection; SQLi detection; Web attacks; WEB security; Black-box testing","Conference paper","Final","","Scopus","2-s2.0-85213816036"
"Wang S.; Jiang Y.; Xu S.; Liu Y.; Yin M.; He G.","Wang, Shiyu (57852780000); Jiang, Yuyao (60225877500); Xu, Shuaijianni (57201008939); Liu, Yiwen (58393492600); Yin, Ming (58628774000); He, Guofeng (60226001700)","57852780000; 60225877500; 57201008939; 58393492600; 58628774000; 60226001700","Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method","2026","Engineering Applications of Artificial Intelligence","165","","113410","","","0","10.1016/j.engappai.2025.113410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023961462&doi=10.1016%2Fj.engappai.2025.113410&partnerID=40&md5=4e8e63d7a2e2976ffdc5d49b5e3015d5","Detecting vulnerabilities in large-scale, multi-file software systems remains a critical challenge, as traditional techniques and current large language models (LLMs) struggle with long code dependencies and complex control flows. This challenge is further compounded for Java, which dominates enterprise software yet remains relatively underexplored in vulnerability detection research. In this study, we first fine-tune a vulnerability-specific LLM called VulDetLLM and then propose a hybrid vulnerability detection method using VulDetLLM and program-assisted language (PAL) model for large-scale source code (HyVD-VP). HyVD-VP performs static detection using semantically meaningful slices and external knowledge, verifies predictions through lightweight dynamic checks during runtime, and integrates static and dynamic signals via an LLM-based decision module to achieve accurate and explainable detection. We evaluate HyVD-VP primarily on Java, which is widely used in mission-critical enterprise domains such as banking, telecommunications, and large-scale web services. The method consistently outperforms traditional analyzers (Fortify, SpotBugs) and recent research baselines, achieving 96.3 % accuracy, 95.7 % F1-score while reducing false negatives. Importantly, it also identified 16 previously unknown vulnerabilities in six real-world enterprise projects, underscoring its industrial relevance. Based on our current evaluation in Java, the detection pipeline shows moderate runtime overhead mainly from dynamic validation, as indicated by runtime profiling. A feasibility study further suggests the potential adaptability of HyVD-VP to multiple programming languages and constrained hardware scenarios simultaneously, indicating both practical applicability and extensibility. These results establish HyVD-VP as a promising step toward scalable, industry-ready solutions for reliable vulnerability detection in large-scale software systems. Copyright © 2025. Published by Elsevier Ltd.","Knowledge-based retrieval-augmented generation; Large language models; Large-language-model-as-a-judge; Program-assisted language model; Static analysis; Vulnerability detection","Enterprise software; Knowledge based systems; Problem oriented languages; Detection methods; Knowledge based; Knowledge-based retrieval-augmented generation; Language model; Large language model; Large-language-model-as-a-judge; Program-assisted language model; Vulnerability detection; Computational linguistics","Article","Final","","Scopus","2-s2.0-105023961462"
"Ke W.; Zheng Y.; Li Y.; Xu H.; Nie D.; Wang P.; He Y.","Ke, Wenjun (57193995075); Zheng, Yifan (58919170300); Li, Yining (59236683400); Xu, Hengyuan (60353731500); Nie, Dong (57188806186); Wang, Peng (56182131700); He, Yao (59263163600)","57193995075; 58919170300; 59236683400; 60353731500; 57188806186; 56182131700; 59263163600","Large Language Models in Document Intelligence: A Comprehensive Survey, Recent Advances, Challenges, and Future Trends","2025","ACM Transactions on Information Systems","44","1","18","","","3","10.1145/3768156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028672647&doi=10.1145%2F3768156&partnerID=40&md5=141d4d92744bc8235209cecf0b94c95a","The rapid proliferation of documents has made document intelligence increasingly critical across various industries. In recent years, Large Language Models (LLMs) have dramatically transformed the field of document intelligence, allowing for more advanced and accurate document processing solutions. Despite these advancements, most existing surveys have failed to focus on these breakthroughs, instead concentrating on traditional methods and earlier machine learning techniques. This survey seeks to fill that gap by offering an in-depth analysis of approximately 300 papers published between 2021 and mid-2025, thus providing a comprehensive overview of the impact of LLMs in document intelligence. The key topics explored include Retrieval-Augmented Generation (RAG), long-context processing, and fine-tuning LLMs for document comprehension. Furthermore, the survey highlights essential datasets, practical applications, current challenges, and future research directions, offering critical insights for both researchers and industry practitioners looking to advance the field. © 2025 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Document Intelligence; Large Language Models; Long Context; RAG","Artificial intelligence; Human engineering; Information management; Information retrieval; Information retrieval systems; Information systems; Document intelligence; Document-processing; Future trends; In-depth analysis; Language model; Large language model; Long context; Machine learning techniques; Processing solutions; Retrieval-augmented generation; Learning systems","Article","Final","","Scopus","2-s2.0-105028672647"
